08 21 09:15:37.240 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:38.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:39.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:40.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:41.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:42.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:43.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:44.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:45.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:46.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:47.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:48.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:49.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:50.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:51.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:52.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:53.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:54.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:55.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:56.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:57.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:58.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:59.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:00.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:01.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:02.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:03.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:04.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:05.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:06.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:07.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:08.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:09.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:10.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:11.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:12.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:13.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:14.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:15.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:16.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:17.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:18.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:16:19.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
